vocab_size,unknown_token_ratio,fragmentation_ratio,compression_ratio,vocabulary_utilization,unknown_token_ratio_n,fragmentation_ratio_n,compression_ratio_n,vocabulary_utilization_n,score
110000,0.0,1.1463140483973144,0.18883914820940353,104212,1.0,1.0,1.0,1.0,1.0
96000,0.0,1.1472076090450467,0.18898542505426025,94934,1.0,0.9937660534536625,0.9936448070174363,0.9035751403034712,0.9853218582187866
64000,0.0,1.152693315179259,0.18987275468541992,63930,1.0,0.9554948976049978,0.955093585525814,0.5813552276034089,0.9223709160126656
32000,0.0,1.1725065598098152,0.1930969520768699,31989,1.0,0.8172673377299554,0.8150140216234435,0.2493972147162752,0.7778522652129871
16000,0.0,1.2115652300864934,0.19942664139330088,15991,1.0,0.54477362027074,0.5400122114258352,0.08313240490542506,0.5422275731691726
8000,0.0,1.2896519229027117,0.21185604875955868,7992,1.0,0.0,0.0,0.0,0.1
